id,title,category,source,published_at,discovered_at,score,url,role,selected
bf1c8f4ee4f4,半年净利飙升163% ！光学巨头三大业务全线“超预期”,光学元件与成像,OFweek 光电频道,2026-08,2026-08-24T06:01:53.297535+00:00,100.0,https://optics.ofweek.com/2026-08/ART-8100-2500-30699499.html,行业媒体,True
8cb7164daa3e,全球第一的车载光学龙头，半年亏掉3.58亿！,光学元件与成像,OFweek 光电频道,2026-08,2026-08-24T06:01:53.297535+00:00,100.0,https://optics.ofweek.com/2026-08/ART-8100-2500-30699327.html,行业媒体,True
0593ede637af,净利暴增186%！光库科技正在兑现AI算力红利,通信与算力,OFweek 光电频道,2026-08,2026-08-24T06:01:53.297535+00:00,100.0,https://optics.ofweek.com/2026-08/ART-8100-2500-30698997.html,行业媒体,True
8fd746610e16,AR光学膜狂飙110%！日久光电Q2净利环比暴增135%,显示与面板,OFweek 光电频道,2026-08,2026-08-24T06:01:53.297535+00:00,100.0,https://optics.ofweek.com/2026-08/ART-8100-2500-30698618.html,行业媒体,True
0c9adeade3bf,光迅科技2026年上半年净利润5.82亿元，同比增长56.34%,产业与资本,C114中国通信网_通信财经,,2026-08-24T06:01:53.297535+00:00,95.0,https://www.c114.com.cn/news/123/a1315966.html,行业媒体,True
c7351d128f58,天孚通信2026年上半年净利润12.04亿元，同比增长33.92%,产业与资本,C114中国通信网_通信财经,,2026-08-24T06:01:53.297535+00:00,95.0,https://www.c114.com.cn/news/123/a1315895.html,行业媒体,True
c2ff31e9721e,光库科技2026年上半年净利润1.48亿元，同比增长186.09%,产业与资本,C114中国通信网_通信财经,,2026-08-24T06:01:53.297535+00:00,95.0,https://www.c114.com.cn/news/123/a1315809.html,行业媒体,True
4766d02bd9f1,锐捷网络2026年上半年净利润6.94亿元，同比增长53.54%,产业与资本,C114中国通信网_通信财经,,2026-08-24T06:01:53.297535+00:00,95.0,https://www.c114.com.cn/news/123/a1315739.html,行业媒体,True
8994f6e379c3,中科曙光上半年实现净利润9.78亿元，同比增长34.19%,产业与资本,C114中国通信网_通信财经,,2026-08-24T06:01:53.297535+00:00,95.0,https://www.c114.com.cn/news/123/a1315661.html,行业媒体,True
7be7dc114d8a,天孚通信：预计2026年上半年净利润11.24亿元-13.04亿元,产业与资本,C114中国通信网_通信财经,,2026-08-24T06:01:53.297535+00:00,95.0,https://www.c114.com.cn/news/123/a1314323.html,行业媒体,True
d9103d2f406c,高速光模块订单大增，剑桥科技上半年净利润同比增长156.65%至197.18%,光通信,C114中国通信网_通信财经,,2026-08-24T06:01:53.297535+00:00,95.0,https://www.c114.com.cn/news/123/a1313968.html,行业媒体,True
